State,CD#,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Massachusetts,4,D+6,Joe Kennedy,D,265823,113055,335,70.1%,29.8%,0.1%,-40.3%,"-152,768",x,Clinton
Massachusetts,5,D+14,Katherine Clark,D,285606,0,4201,98.6%,0.0%,1.4%,-98.6%,"-285,606",x,Clinton
Massachusetts,6,D+4,Seth Moulton,D,308923,0,5132,98.4%,0.0%,1.6%,-98.4%,"-308,923",x,Clinton
Massachusetts,7,D+31,Mike Capuano,D,253354,0,3557,98.6%,0.0%,1.4%,-98.6%,"-253,354",x,Clinton
Massachusetts,8,D+6,Stephen Lynch,D,271019,102744,502,72.4%,27.5%,0.1%,-45.0%,"-168,275",x,Clinton
Massachusetts,9,D+5,Bill Keating,D,211790,127803,40302,55.7%,33.6%,10.6%,-22.1%,"-83,987",x,Clinton
Michigan,1,R+5,Jack Bergman,R,144334,197777,18160,40.1%,54.9%,5.0%,14.8%,"53,443",x,Trump
Michigan,2,R+7,Bill Huizenga,R,110391,212508,16429,32.5%,62.6%,4.8%,30.1%,"102,117",x,Trump
Michigan,3,R+4,Justin Amash,R,128400,203545,10420,37.5%,59.5%,3.0%,21.9%,"75,145",x,Trump
Michigan,4,R+5,John Moolenaar,R,101277,194572,19902,32.1%,61.6%,6.3%,29.5%,"93,295",x,Trump
Michigan,5,D+10,Daniel Kildee,D,195279,112102,11910,61.2%,35.1%,3.7%,-26.1%,"-83,177",x,Clinton
Michigan,6,R+1,Fred Upton,R,119980,193246,16326,36.4%,58.6%,5.0%,22.2%,"73,266",x,Trump
Michigan,7,R+3,Tim Walberg,R,134010,184321,16476,40.0%,55.1%,4.9%,15.0%,"50,311",x,Trump
Michigan,8,R+2,Mike Bishop,R,143791,205629,17548,39.2%,56.0%,4.8%,16.9%,"61,838",x,Trump
Michigan,9,D+6,Sander Levin,D,199661,128937,16177,57.9%,37.4%,4.7%,-20.5%,"-70,724",x,Clinton
Michigan,10,R+6,Paul Mitchell,R,110112,215132,15739,32.3%,63.1%,4.6%,30.8%,"105,020",x,Trump
Michigan,11,R+4,Dave Trott,R,152461,200872,26155,40.2%,52.9%,6.9%,12.8%,"48,411",x,Trump
Michigan,12,D+15,Debbie Dingell,D,211378,96104,21060,64.3%,29.3%,6.4%,-35.1%,"-115,274",x,Clinton
Michigan,13,D+34,John Conyers,D,198771,40541,18485,77.1%,15.7%,7.2%,-61.4%,"-158,230",x,Clinton
Michigan,14,D+29,Brenda Lawrence,D,244135,58103,8736,78.5%,18.7%,2.8%,-59.8%,"-186,032",x,Clinton
Minnesota,1,R+1,Tim Walz,D,169074,166526,277,50.3%,49.6%,0.1%,-0.8%,"-2,548",x,Trump
Minnesota,2,R+2,Jason Lewis,R,167315,173970,29229,45.2%,47.0%,7.9%,1.8%,"6,655",x,Trump
Minnesota,3,R+2,Erik Paulsen,R,169243,223077,1144,43.0%,56.7%,0.3%,13.7%,"53,834",x,Clinton
Minnesota,4,D+11,Betty McCollum,D,203299,121032,27613,57.8%,34.4%,7.8%,-23.4%,"-82,267",x,Clinton
Minnesota,5,D+22,Keith Ellison,D,249964,80660,31258,69.1%,22.3%,8.6%,-46.8%,"-169,304",x,Clinton
